soc_code,title,tech_skills,soft_skills
17-2072.00,Electronics Engineers,"matlab,c,python,circuit design,autocad,embedded systems,signal processing","problem solving,analytical thinking,attention to detail,teamwork,communication"
17-2141.00,Mechanical Engineers,"autocad,solidworks,matlab,ansys,cad,fea,python","problem solving,analytical thinking,attention to detail,teamwork,communication"
19-1022.00,Microbiologists,"python,r,bioinformatics,laboratory skills,statistical analysis,research methodology","research,analytical thinking,attention to detail,communication,problem solving"
19-3011.00,Economists,"r,python,stata,economics modeling,econometrics,data analysis,excel","analytical thinking,communication,research,problem solving,writing"
21-1012.00,Educational Psychologists,"statistics,research methodology,data analysis,assessment tools,excel","communication,empathy,analytical thinking,problem solving,report writing"
25-1199.00,Postsecondary Teachers - Computer Science,"python,java,c++,algorithms,data structures,research,curriculum design","communication,teaching,mentoring,critical thinking,research"
27-1021.00,Commercial and Industrial Designers,"cad,solidworks,autocad,adobe illustrator,3d modeling,figma","creativity,communication,problem solving,attention to detail,collaboration"
27-3042.00,Technical Writers,"documentation tools,markdown,git,cms,xml,html","writing,communication,attention to detail,research,collaboration"
29-1141.00,Registered Nurses,"ehr software,medical documentation,patient monitoring,clinical procedures","communication,empathy,critical thinking,attention to detail,teamwork"
33-3021.00,Detectives and Criminal Investigators,"forensics tools,case management software,report writing,database systems","analytical thinking,communication,attention to detail,ethics,problem solving"
41-3099.00,Sales Representatives - Services,"crm software,salesforce,excel,presentation tools,data analysis","communication,persuasion,relationship building,problem solving,resilience"
43-4051.00,Customer Service Representatives,"crm software,ticketing systems,microsoft office,communication tools","communication,empathy,patience,problem solving,active listening"
43-9041.00,Insurance Claims and Policy Processing Clerks,"claims management software,excel,sql,document management","attention to detail,communication,problem solving,organization,accuracy"
47-2152.00,Plumbers Pipefitters and Steamfitters,"plumbing systems,blueprints,building codes,cad","problem solving,physical stamina,attention to detail,communication,reliability"
49-2022.00,Telecommunications Equipment Installers and Repairers,"networking,cable management,test equipment,documentation","problem solving,attention to detail,communication,physical dexterity,reliability"
51-9162.00,Computer Numerically Controlled Tool Operators,"cnc programming,cad,cam software,quality control,blueprint reading","attention to detail,problem solving,physical dexterity,reliability,communication"
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,"gps software,logistic systems,vehicle inspection,eld systems","reliability,time management,attention to detail,physical stamina,communication"
15-1211.01,DevOps Engineers,"docker,kubernetes,ci/cd,terraform,aws,gcp,azure,bash,python,ansible,linux","problem solving,communication,reliability,collaboration,incident management"
15-1211.02,Site Reliability Engineers,"kubernetes,prometheus,grafana,python,terraform,incident management,slo,sre practices","problem solving,communication,reliability,analytical thinking,collaboration"
15-1299.07,Cloud Engineers,"aws,gcp,azure,terraform,docker,kubernetes,linux,ci/cd,python","problem solving,communication,documentation,analytical thinking,collaboration"
